is_one,ConsecutiveLimitUp,IChangeRatio,billboard_weight,large_alpha,CirculatedMarketValue_Discrete,Turnover,IndcdZX_C39,IndcdZX_C37
0,2,-1.5514864849048042,0.0,-15.96,1,0.3830337003004142,True,False
0,3,0.8100073761911063,0.3620129520201665,-0.76,1,0.25867633551184505,True,False
0,1,0.606728492499579,0.0,-11.18,1,0.6617985730402502,True,False
0,1,1.7494344124380135,0.0,-13.54,1,-0.46780969040132203,True,False
0,2,-1.3033493109677599,-3.40812137555234,-26.86,1,1.00178952997613,True,False
0,3,-1.9322507353966862,0.0,-6.68,1,0.006411012650353016,True,False
0,1,-1.7140387629786908,0.0,-18.36,1,0.33713578711243253,True,False
0,1,0.16605481490348648,0.0,-4.31,1,0.018361790046469182,True,False
0,1,0.3016921188300631,0.0,-16.35,1,0.3643281356804066,True,False
0,1,-0.8764872648419973,0.0,-3.91,1,-0.06763184730384379,True,False
